env_hash,name
6754af9632a2745e85c293e5aac0863370d9bd3330b9938c00cadfd215227d77,prod
e919a75364398a449f860aeadddc57fa0502145a4e63959ddb33c417a48dc0da,staging
ef260e9aa3c673af240d17a2660480361a8e081d1ffeca2a5ed0e3219fc18567,dev
53f050f152fecb493e5199f2e192dd6311bef1371648a805e4d0842f56b03d0b,cicd
